city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count,id
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,White,58723,0
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Asian,3152,1
Tampa,Florida,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47,FL,Hispanic or Latino,95154,2
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,Asian,2788,3
Tyler,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX,American Indian and Alaska Native,1057,4
Rialto,California,31.6,49902.0,53235.0,103137,2036.0,32741.0,3.83,CA,Black or African-American,11800,5
Sandy,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,American Indian and Alaska Native,507,6
Arden-Arcade,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,Black or African-American,13647,7
Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,Black or African-American,5717,8
Cape Coral,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,Black or African-American,7311,9
Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,American Indian and Alaska Native,1262,10
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Asian,8423,11
Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN,Black or African-American,5828,12
Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,Hispanic or Latino,81551,13
Buena Park,California,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55,CA,White,48412,14
Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,Hispanic or Latino,22066,15
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,White,112743,16
Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,Hispanic or Latino,33229,17
Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH,American Indian and Alaska Native,358,18
Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,Hispanic or Latino,243190,19
Sparks,Nevada,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63,NV,Black or African-American,4226,8589934592
Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,Asian,26168,8589934593
Greeley,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,Black or African-American,2856,8589934594
Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,Hispanic or Latino,15392,8589934595
